algorithm-1,algorithm-2,algorithm-3,algorithm-4,T1(n),T2(n),T3(n),T4(n)
22.99,7.67,2.55,2.56,18.0,7.0,16.0,2.0
7.66,2.56,2.55,2.56,51.0,15.0,33.0,3.0
15.33,2.55,2.56,0.0,110.0,26.0,56.0,3.0
25.54,5.11,2.56,2.55,202.0,40.0,84.0,4.0
40.88,5.11,5.11,2.56,335.0,57.0,119.0,5.0
58.76,2.56,5.11,0.0,517.0,77.0,160.0,5.0
86.87,5.11,7.66,2.56,755.0,100.0,207.0,6.0
117.53,7.66,7.67,0.0,1056.0,126.0,260.0,7.0
155.85,10.22,7.66,0.0,1429.0,155.0,319.0,8.0
204.39,10.22,10.22,0.0,1879.0,186.0,383.0,8.0
260.6,12.77,10.22,0.0,2416.0,221.0,454.0,9.0
324.47,15.33,10.22,0.0,3046.0,259.0,531.0,10.0
398.57,17.88,10.22,2.56,3778.0,300.0,614.0,10.0
447.11,20.43,12.78,0.0,4618.0,344.0,703.0,11.0
579.96,23.0,12.77,2.56,5573.0,391.0,798.0,12.0
638.72,25.55,15.33,0.0,6653.0,441.0,899.0,12.0
748.59,30.66,15.33,0.0,7863.0,494.0,1005.0,13.0
871.22,30.65,15.33,2.56,9212.0,550.0,1118.0,14.0
1004.08,35.76,15.33,2.56,10707.0,609.0,1237.0,15.0
